"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"formula"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"formula"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"formula"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"&"	"raw_true"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_true"	"|"	"raw_true"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_true"	"&"	"raw_false"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_true"	"|"	"raw_false"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_true"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"formula"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"&"	"raw_true"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_false"	"|"	"raw_true"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_false"	"&"	"raw_false"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_false"	"|"	"raw_false"	"logical"	"logical"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"raw_false"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"raw_false"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
