"id","kind","line","expression","evaluations"
350,"||",595,"(inner_subset_of_outer && length(range_outer) == length(range_inner)) || all(range_outer %in% range_inner)",50457
351,"&&",595,"inner_subset_of_outer && length(range_outer) == length(range_inner)",37488
352,"if",596,"if (inner_subset_of_outer) {     is_not_subset_of[[meta_idx_inner]][meta_idx_outer, symbol] = FALSE }",28008
353,"[",600,"is_not_subset_of[[meta_idx_inner]][meta_idx_outer, symbol]",9480
354,"[[",600,"is_not_subset_of[[meta_idx_inner]]",9480
355,"if",602,"if (outer_subset_of_inner) {     is_not_subset_of[[meta_idx_outer]][meta_idx_inner, symbol] = FALSE }",28008
356,"[",603,"is_not_subset_of[[meta_idx_outer]][meta_idx_inner, symbol]",9398
357,"[[",603,"is_not_subset_of[[meta_idx_outer]]",9398
358,"[",608,"not_subset_count[meta_idx_outer, meta_idx_inner]",14176
359,"[",608,"is_not_subset_of[[meta_idx_outer]][meta_idx_inner, ]",14176
360,"[[",608,"is_not_subset_of[[meta_idx_outer]]",14176
361,"[",609,"is_not_subset_of[[meta_idx_inner]][meta_idx_outer, ]",14176
362,"[[",609,"is_not_subset_of[[meta_idx_inner]]",14176
363,"[",610,"not_subset_count[meta_idx_inner, meta_idx_outer]",14176
